,name,JASPAR,cluster
117,Nr4a2,JASPAR_vertebrates_CORE_MA0160.3_n541,54
118,Nfic,JASPAR_vertebrates_CORE_MA0161.3_n509,53
119,Egr1,JASPAR_vertebrates_CORE_MA0162.5_n270,56
120,Plag1,JASPAR_vertebrates_CORE_MA0163.1_n16,32
121,Nr2e3,JASPAR_vertebrates_CORE_MA0164.2_n831,60
122,Esr2,JASPAR_vertebrates_CORE_MA0258.2_n20,58
123,Arnt::hif1a,JASPAR_vertebrates_CORE_MA0259.2_n172,133
124,Sox10,JASPAR_vertebrates_CORE_MA0442.3_n612,13
125,Atoh1,JASPAR_vertebrates_CORE_MA0461.3_n764,45
126,Batf::jun,JASPAR_vertebrates_CORE_MA0462.3_n223,116
127,Bcl6,JASPAR_vertebrates_CORE_MA0463.3_n226,11
128,Bhlhe40,JASPAR_vertebrates_CORE_MA0464.3_n229,21
129,Cdx2,JASPAR_vertebrates_CORE_MA0465.3_n232,10
130,Cebpb,JASPAR_vertebrates_CORE_MA0466.4_n235,66
131,Crx,JASPAR_vertebrates_CORE_MA0467.3_n771,112
132,Dux4,JASPAR_vertebrates_CORE_MA0468.1_n18,47
133,E2f3,JASPAR_vertebrates_CORE_MA0469.4_n263,100
134,E2f4,JASPAR_vertebrates_CORE_MA0470.3_n265,100
135,E2f6,JASPAR_vertebrates_CORE_MA0471.3_n266,79
136,Egr2,JASPAR_vertebrates_CORE_MA0472.2_n57,56
137,Elf1,JASPAR_vertebrates_CORE_MA0473.4_n274,31
138,Erg,JASPAR_vertebrates_CORE_MA0474.4_n783,31
139,Fli1,JASPAR_vertebrates_CORE_MA0475.3_n330,83
140,Fos,JASPAR_vertebrates_CORE_MA0476.2_n333,89
141,Fosl1,JASPAR_vertebrates_CORE_MA0477.3_n344,89
142,Fosl2,JASPAR_vertebrates_CORE_MA0478.2_n349,89
143,Foxh1,JASPAR_vertebrates_CORE_MA0479.2_n365,127
144,Foxo1,JASPAR_vertebrates_CORE_MA0480.3_n782,5
145,Foxp1,JASPAR_vertebrates_CORE_MA0481.4_n374,5
146,Gata4,JASPAR_vertebrates_CORE_MA0482.3_n380,99
147,Gfi1b,JASPAR_vertebrates_CORE_MA0483.2_n790,0
148,Hnf4g,JASPAR_vertebrates_CORE_MA0484.3_n411,131
149,Hoxc9,JASPAR_vertebrates_CORE_MA0485.3_n432,104
150,Hsf1,JASPAR_vertebrates_CORE_MA0486.2_n33,75
151,Jun,JASPAR_vertebrates_CORE_MA0488.2_n224,129
152,Jun,JASPAR_vertebrates_CORE_MA0489.3_n767,89
153,Junb,JASPAR_vertebrates_CORE_MA0490.3_n339,89
154,Jund,JASPAR_vertebrates_CORE_MA0491.3_n342,89
155,Jund,JASPAR_vertebrates_CORE_MA0492.2_n341,129
156,Klf1,JASPAR_vertebrates_CORE_MA0493.3_n451,4
157,Nr1h3::rxra,JASPAR_vertebrates_CORE_MA0494.2_n829,6
158,Maff,JASPAR_vertebrates_CORE_MA0495.4_n474,80
159,Mafk,JASPAR_vertebrates_CORE_MA0496.4_n215,36
160,Mef2c,JASPAR_vertebrates_CORE_MA0497.2_n480,139
161,Meis1,JASPAR_vertebrates_CORE_MA0498.3_n481,9
162,Myod1,JASPAR_vertebrates_CORE_MA0499.3_n500,34
163,Myog,JASPAR_vertebrates_CORE_MA0500.3_n501,7
164,Maf::nfe2,JASPAR_vertebrates_CORE_MA0501.2_n471,36
165,Nfyb,JASPAR_vertebrates_CORE_MA0502.3_n516,19
166,Nr2c2,JASPAR_vertebrates_CORE_MA0504.2_n533,65
167,Nr5a2,JASPAR_vertebrates_CORE_MA0505.3_n834,54
168,Nrf1,JASPAR_vertebrates_CORE_MA0506.3_n835,144
169,Pou2f2,JASPAR_vertebrates_CORE_MA0507.3_n566,135
170,Prdm1,JASPAR_vertebrates_CORE_MA0508.4_n579,40
171,Rfx1,JASPAR_vertebrates_CORE_MA0509.3_n152,120
172,Rfx5,JASPAR_vertebrates_CORE_MA0510.3_n593,120
173,Runx2,JASPAR_vertebrates_CORE_MA0511.2_n80,114
174,Rxra,JASPAR_vertebrates_CORE_MA0512.2_n44,65
175,Sox3,JASPAR_vertebrates_CORE_MA0514.3_n857,143
176,Sox6,JASPAR_vertebrates_CORE_MA0515.1_n19,13
177,Sp2,JASPAR_vertebrates_CORE_MA0516.3_n153,4
178,Stat1::stat2,JASPAR_vertebrates_CORE_MA0517.2_n629,84
179,Stat4,JASPAR_vertebrates_CORE_MA0518.2_n861,85
180,Stat5a::stat5b,JASPAR_vertebrates_CORE_MA0519.2_n863,85
181,Stat6,JASPAR_vertebrates_CORE_MA0520.2_n865,85
182,Tcf12,JASPAR_vertebrates_CORE_MA0521.3_n867,7
183,Tcf3,JASPAR_vertebrates_CORE_MA0522.4_n397,34
184,Tcf7l2,JASPAR_vertebrates_CORE_MA0523.2_n640,91
185,Tfap2c,JASPAR_vertebrates_CORE_MA0524.3_n649,42
186,Tp63,JASPAR_vertebrates_CORE_MA0525.2_n105,137
187,Usf2,JASPAR_vertebrates_CORE_MA0526.5_n669,101
188,Zbtb33,JASPAR_vertebrates_CORE_MA0527.2_n683,74
189,Znf263,JASPAR_vertebrates_CORE_MA0528.3_n704,140
190,Bach1::mafk,JASPAR_vertebrates_CORE_MA0591.2_n766,36
191,Esrra,JASPAR_vertebrates_CORE_MA0592.4_n306,54
192,Foxp2,JASPAR_vertebrates_CORE_MA0593.2_n375,5
193,Hoxa9,JASPAR_vertebrates_CORE_MA0594.3_n416,18
194,Srebf1,JASPAR_vertebrates_CORE_MA0595.1_n21,121
195,Srebf2,JASPAR_vertebrates_CORE_MA0596.1_n22,121
196,Thap1,JASPAR_vertebrates_CORE_MA0597.3_n658,64
197,Ehf,JASPAR_vertebrates_CORE_MA0598.4_n273,31
198,Klf5,JASPAR_vertebrates_CORE_MA0599.1_n23,4
199,Rfx2,JASPAR_vertebrates_CORE_MA0600.3_n591,120
200,Arid3b,JASPAR_vertebrates_CORE_MA0601.2_n759,2
201,Arid5a,JASPAR_vertebrates_CORE_MA0602.2_n760,148
202,Arntl,JASPAR_vertebrates_CORE_MA0603.2_n761,59
203,Atf1,JASPAR_vertebrates_CORE_MA0604.1_n24,147
204,Atf3,JASPAR_vertebrates_CORE_MA0605.3_n211,81
205,Nfat5,JASPAR_vertebrates_CORE_MA0606.3_n818,51
